ship_name,total_ship_battles
Atlanta,2264
Alaska,1554
Asashio B,1283
Atago,1266
Massachusetts,1056
Texas,1002
Jean Bart,981
Tirpitz,949
Arizona,893
Georgia,878
Warspite,839
Pommern,705
Friesland,624
Jäger,614
Perth,581
Scharnhorst,574
Agincourt,540
Groningen,539
Vanguard,460
Lazo,453
Murmansk,426
Alabama,414
Nelson,397
T-61,393
Odin,375
Lenin,369
Ark Royal,347
Marblehead,342
Sims,333
Massachusetts B,330
Belfast,325
Indianapolis,322
Hood,321
Hornet,318
Duke of York,311
Giulio Cesare,309
Tiger '59,289
Oktyabrskaya Revolutsiya,288
Missouri,281
ARP Kirishima,270
Rio de Janeiro,267
Kidd,260
Dunkerque,248
Kii,245
Gallant,240
Cossack,222
Ägir,217
Charleston,211
ARP Haruna,207
Boise,204
Admiral Graf Spee,199
Mainz,193
ARP Kongō,192
Arkansas Beta,190
Scharnhorst '43,189
Iwami,185
Alaska B,185
Asashio,178
Mikhail Kutuzov,176
Atago B,175
Azuma,175
Tulsa,167
Molotov,163
Cheshire,155
Prinz Eitel Friedrich,153
ARP Takao,149
ZF-6,149
Ishizuchi,148
Vampire,142
Siegfried,138
Błyskawica,136
Ashitaka,133
Emden,133
ARP Myōkō,131
Monaghan,117
Jean Bart B,116
Prinz Eugen,112
W. Virginia '41,109
Haida,109
Yūbari,103
Tennessee,102
Okhotnik,98
König Albert,98
Illinois,97
De Grasse,93
Anhalt,89
ARP Hiei,87
Benham,86
Anshan,84
Gorizia,83
Exeter,83
San Diego,82
Mutsu,81
Black,78
Marco Polo,78
Admiral Schröder,77
North Carolina CLR,75
Albany,74
Aigle,73
Smith,72
London,72
Elli,71
Huanghe,71
Colossus,70
Enterprise,68
Kamikaze R,68
Fūjin,68
Repulse,67
Victoria,65
Leningrad,65
Cossack B,64
Kirov,64
Brandenburg,63
ARP Ashigara,62
HSF Harekaze,60
Dreadnought,60
Florida,59
Tokachi,58
Hizen,58
Lazo B,58
Gascogne,57
Tirpitz B,57
Hampshire,57
Oklahoma,56
De Zeven Provinciën,55
Cambridge,54
Eastern Dragon,53
Sun Yat-Sen,51
Atlântico,51
Daisen,51
Shinonome B,50
Johnston,50
Optio,48
Somme,46
Duca d'Aosta,45
Tachibana,45
Dido,43
Aurora,43
Marlborough,41
Pilus Prior,40
Kearsarge,39
Kaga,39
Loyang,38
Hill,38
California,38
Fiume,37
Graf Zeppelin B,37
Hyūga,36
Karl XIV Johan,35
Tsurugi,35
Orkan,35
Rochester,34
Gambia,33
Loyang B,33
ARP Nachi,33
Piñatian,32
Desert Falcon,32
Graf Zeppelin,31
Mikasa,31
Katori,31
Campbeltown,31
Duca degli Abruzzi,30
Neustrashimy,30
Ise,29
Kiberpankov,29
Constellation,29
Niord,29
Carnot,29
Xin Zhong Guo 14,29
Mainz B,28
Bayard,28
Yahagi,27
Viribus Unitis,27
Fenyang,27
Ochakov,27
Almirante Oquendo,27
Roma,26
Diana,26
Marblehead Lima,25
Shinonome,25
Halford,24
AL Hornet,24
Champagne,23
Yūdachi,23
Novorossiysk,22
HSF Admiral Graf Spee,22
Wujing,22
ARP Haguro,21
Strasbourg,20
Scharnhorst B,20
Anchorage,20
Flandre,20
Almirante Grau,20
Mikoyan,19
Collingwood,19
Kamikaze,19
Numancia,18
Poltava,18
Wukong,18
Renown '44,17
Lugdunum,17
Chikuma II,17
Kozma Minin,16
Imperator Nikolai I,16
Tashkent '39,16
Tianjin,16
Yukon,16
Le Terrible,16
I-56,15
Z-39,15
Le Havre,15
West Virginia '44,14
Atlanta B,14
Leone,14
Weimar,13
Tone,13
Michelangelo,13
Wahnsinn,13
Valparaíso,13
S-189,13
Congress,13
Southern Dragon,12
Roussillon,12
Schill,12
Chkalov,12
Gremyashchy,12
Taihang,11
Teng She,11
Karl von Schönberg,11
Sims B,11
Leipzig,11
AL Yukikaze,11
München,11
Genova,10
Arkhangelsk,10
Navarin,10
Ferrante Gonzaga,10
Musashi,10
Canarias,10
Siroco,10
Varyag,9
Mysore,9
Belfast '43,9
Dunkerque B,9
Francesco Ferruccio,9
Tachibana Lima,8
Repulse B,8
Krasny Krym,8
Narai,8
Huron,8
Stord '43,7
Paolo Emilio,7
Wiesbaden,7
Juruá,7
Scarlet Thunder,7
Pommern B,7
Iwami B,7
Dmitry Pozharsky,7
Giuseppe Verdi,6
Saipan,6
Siliwangi,6
Diana Lima,6
Royal Sovereign,6
Nueve de Julio,6
Borodino,6
Lanzhou,6
Brandenburg B,6
Marcantonio Colonna,6
Kalmar,5
FR25,5
Toulon,5
Messina,5
Jupiter '42,5
Nürnberg '44,5
Suzuya,5
AL Bismarck,5
Flint,4
Nottingham,4
Bajie,4
Eskimo,4
Zarya Svobody,4
Admiral Makarov,4
Orion '44,4
Wichita,4
Rodney,3
Montcalm,3
Irian,3
Barfleur,3
Pyotr Bagration,3
Błyskawica '44,3
Bridgeport,3
Dupleix,3
AL Sov. Rossiya,2
Maya,2
Picardie,2
Xuan Wu,2
Z-35,2
Z-44,2
Dalian,2
Erich Loewenhardt,2
AL Montpelier,2
Almirante Abreu,2
Velos,2
München B,2
Minegumo,2
AL Prinz Heinrich,2
Blücher,2
Kheper,1
Black B,1
AL Littorio,1
Ning Hai,1
Vallejo,1
Theseus,1
GQ Johnny,1
Nanning,1
Kronshtadt,1
Mahtaga,1
AL Ägir,1
Alabama B,1
Oleg,1